Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
1997-98,Man United,2,1,1,77,75,2,47
1997-98,Arsenal,1,2,-1,78,74,4,35
1997-98,Liverpool,3,3,0,65,63,2,26
1997-98,Chelsea,4,4,0,63,62,1,28
1997-98,Leeds,5,5,0,59,56,3,11
1997-98,Aston Villa,7,6,1,57,56,1,1
1997-98,West Ham,8,7,1,56,54,2,-1
1997-98,Blackburn,6,8,-2,58,53,5,5
1997-98,Derby,9,9,0,55,51,4,3
1997-98,Leicester,10,10,0,53,49,4,10
1997-98,Southampton,12,11,1,48,47,1,-5
1997-98,Coventry,11,12,-1,52,46,6,2
1997-98,Sheffield Weds,16,13,3,44,42,2,-15
1997-98,Tottenham,14,14,0,44,41,3,-12
1997-98,Newcastle,13,15,-2,44,39,5,-9
1997-98,Wimbledon,15,16,-1,44,36,8,-12
1997-98,Bolton,18,17,1,40,35,5,-20
1997-98,Barnsley,19,18,1,35,35,0,-45
1997-98,Everton,17,19,-2,40,34,6,-15
1997-98,Crystal Palace,20,20,0,33,31,2,-34
