Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2012-13,Man United,1,1,0,89,89,0,43
2012-13,Man City,2,2,0,78,74,4,32
2012-13,Chelsea,3,3,0,75,72,3,36
2012-13,Tottenham,5,4,1,72,70,2,20
2012-13,Arsenal,4,5,-1,73,69,4,35
2012-13,Everton,6,6,0,63,59,4,15
2012-13,Liverpool,7,7,0,61,56,5,28
2012-13,West Brom,8,8,0,49,47,2,-4
2012-13,West Ham,10,9,1,46,41,5,-8
2012-13,Fulham,12,10,2,43,41,2,-10
2012-13,Swansea,9,11,-2,46,40,6,-4
2012-13,Aston Villa,15,12,3,41,39,2,-22
2012-13,Newcastle,16,13,3,41,39,2,-23
2012-13,Southampton,14,14,0,41,38,3,-11
2012-13,Norwich,11,15,-4,44,38,6,-17
2012-13,Stoke,13,16,-3,42,36,6,-11
2012-13,Wigan,18,17,1,36,36,0,-26
2012-13,Sunderland,17,18,-1,39,35,4,-13
2012-13,Reading,19,19,0,28,24,4,-30
2012-13,QPR,20,20,0,25,19,6,-30
