Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2005-06,Chelsea,1,1,0,91,90,1,50
2005-06,Man United,2,2,0,83,79,4,38
2005-06,Liverpool,3,3,0,82,78,4,32
2005-06,Arsenal,4,4,0,67,64,3,37
2005-06,Tottenham,5,5,0,65,62,3,15
2005-06,Blackburn,6,6,0,63,59,4,9
2005-06,Newcastle,7,7,0,58,54,4,5
2005-06,Bolton,8,8,0,56,52,4,8
2005-06,West Ham,9,9,0,55,52,3,-3
2005-06,Wigan,10,10,0,51,51,0,-7
2005-06,Everton,11,11,0,50,48,2,-15
2005-06,Fulham,12,12,0,48,45,3,-10
2005-06,Middlesbrough,14,13,1,45,42,3,-10
2005-06,Charlton,13,14,-1,47,41,6,-14
2005-06,Man City,15,15,0,43,40,3,-5
2005-06,Aston Villa,16,16,0,42,37,5,-13
2005-06,Portsmouth,17,17,0,38,37,1,-25
2005-06,Birmingham,18,18,0,34,30,4,-22
2005-06,West Brom,19,19,0,30,25,5,-27
2005-06,Sunderland,20,20,0,15,13,2,-43
