Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
1996-97,Man United,1,1,0,75,72,3,32
1996-97,Newcastle,2,2,0,68,65,3,33
1996-97,Liverpool,4,3,1,68,65,3,25
1996-97,Arsenal,3,4,-1,68,64,4,30
1996-97,Chelsea,6,5,1,59,57,2,3
1996-97,Aston Villa,5,6,-1,61,56,5,13
1996-97,Wimbledon,8,7,1,56,54,2,3
1996-97,Sheffield Weds,7,8,-1,57,52,5,-1
1996-97,Leicester,9,9,0,47,44,3,-8
1996-97,Tottenham,10,10,0,46,43,3,-7
1996-97,Derby,12,11,1,46,42,4,-13
1996-97,Everton,16,12,4,42,39,3,-13
1996-97,Southampton,17,13,4,41,38,3,-6
1996-97,Middlesbrough,14,14,0,42,38,4,-9
1996-97,Leeds,11,15,-4,46,37,9,-10
1996-97,Blackburn,13,16,-3,42,36,6,-1
1996-97,West Ham,15,17,-2,42,36,6,-9
1996-97,Sunderland,19,18,1,40,36,4,-18
1996-97,Coventry,18,19,-1,41,35,6,-16
1996-97,Nott'm Forest,20,20,0,34,30,4,-28
