Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2019-20,Liverpool,1,1,0,99,98,1,52
2019-20,Man City,2,2,0,81,81,0,67
2019-20,Chelsea,4,3,1,66,66,0,15
2019-20,Man United,3,4,-1,66,65,1,30
2019-20,Leicester,5,5,0,62,59,3,26
2019-20,Tottenham,6,6,0,59,57,2,14
2019-20,Wolves,7,7,0,59,55,4,11
2019-20,Arsenal,8,8,0,56,54,2,8
2019-20,Sheffield United,9,9,0,54,52,2,0
2019-20,Burnley,10,10,0,54,52,2,-7
2019-20,Southampton,11,11,0,52,52,0,-9
2019-20,Everton,12,12,0,49,46,3,-12
2019-20,Crystal Palace,14,13,1,43,41,2,-19
2019-20,Newcastle,13,14,-1,44,40,4,-20
2019-20,West Ham,16,15,1,39,38,1,-13
2019-20,Brighton,15,16,-1,41,37,4,-15
2019-20,Aston Villa,17,17,0,35,33,2,-26
2019-20,Bournemouth,18,18,0,34,31,3,-25
2019-20,Watford,19,19,0,34,30,4,-28
2019-20,Norwich,20,20,0,21,19,2,-49
