Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2023-24,Man City,1,1,0,91,90,1,62
2023-24,Arsenal,2,2,0,89,88,1,62
2023-24,Liverpool,3,3,0,82,81,1,45
2023-24,Aston Villa,4,4,0,68,67,1,15
2023-24,Tottenham,5,5,0,66,66,0,13
2023-24,Chelsea,6,6,0,63,62,1,14
2023-24,Newcastle,7,7,0,60,60,0,23
2023-24,Man United,8,8,0,60,59,1,-1
2023-24,West Ham,9,9,0,52,51,1,-14
2023-24,Crystal Palace,10,10,0,49,47,2,-1
2023-24,Bournemouth,13,11,2,48,47,1,-13
2023-24,Everton,12,12,0,48,46,2,-11
2023-24,Brighton,11,13,-2,48,45,3,-7
2023-24,Wolves,15,14,1,46,45,1,-15
2023-24,Fulham,14,15,-1,47,44,3,-6
2023-24,Brentford,16,16,0,39,37,2,-9
2023-24,Nott'm Forest,17,17,0,36,35,1,-18
2023-24,Luton,18,18,0,26,26,0,-33
2023-24,Burnley,19,19,0,24,24,0,-37
2023-24,Sheffield United,20,20,0,16,16,0,-69
