Season,Team,OriginalPosition,NewPosition,PositionChange,OriginalPoints,NewPoints,ZeroZeroDraws,GoalDifference
2011-12,Man United,2,1,1,89,89,0,56
2011-12,Man City,1,2,-1,89,88,1,64
2011-12,Arsenal,3,3,0,70,67,3,25
2011-12,Tottenham,4,4,0,69,66,3,25
2011-12,Newcastle,5,5,0,65,62,3,5
2011-12,Chelsea,6,6,0,64,60,4,19
2011-12,Everton,7,7,0,56,55,1,10
2011-12,Fulham,9,8,1,52,49,3,-3
2011-12,Liverpool,8,9,-1,52,48,4,7
2011-12,Norwich,12,10,2,47,46,1,-14
2011-12,West Brom,10,11,-1,47,44,3,-7
2011-12,Swansea,11,12,-1,47,42,5,-7
2011-12,Stoke,14,13,1,45,42,3,-17
2011-12,Sunderland,13,14,-1,45,40,5,-1
2011-12,Wigan,15,15,0,43,40,3,-20
2011-12,QPR,17,16,1,37,36,1,-23
2011-12,Bolton,18,17,1,36,35,1,-31
2011-12,Aston Villa,16,18,-2,38,31,7,-16
2011-12,Blackburn,19,19,0,31,31,0,-30
2011-12,Wolves,20,20,0,25,22,3,-42
